text,target
ខ្ញុំចូលចិត្តវា,Positive 
ផលិតផលនេះគុណភាពល្អ,Positive 
ប្រើប្រាស់មិនបានយូ ហើយថ្លៃទៀត,Negative
នៅតែពេញនិយមស្តាប់មិនធុញ,Positive 
ខ្ញុំអត់ចូលចិត្តត្រង់ កាមេរ៉ា មហាអន់ និយាយមែន,Negative
ខ្ញុំអត់ពេញចិត្តរូប១សន្លឹកដែលថតនោះ,Negative
ផលិតបានល្អខ្លាំងណាស់,Positive 
ខ្ញុំស្ដាប់10ដងហើយនៅតែពិរស់,Positive 
អ្នកបើកបរមានសុជីវធម៍ល្អ លើកក្រោយចង់ជិះជាមួយគាត់ទៀត,Positive 
សូមខំមិនរឿងអ្នកបើកបរម្សិលមិញពីសៀមរាបមកភ្នំពេញម៉ោង3កន្លះរសៀលអ្នកបើកបរលឿនហួសហេតុឈ្លើយឈប់ចូលបត់ជើង ម៉ាននាទីហូបបាយម៉ាននាទីក៏មិនប្រាប់បើកលឿនខ្លាំងដល់ថ្នាក់ខ្ញុំអង្គុយនៅខាងមុខចង់ក្អួតម៉ានដង,Negative
ល្អតែម្ដងគុណភាពរបស់គេ,Positive
រឿងហ្នឹងល្អមើល,Positive
ល្អមើលមែន Rate អោយ 9/10 តែអត់យល់ហេតុអីបានគេយំ? ខ្ញុំមើលអត់យំផង,Positive
Rate8.5/10 ល្អមើល តែអត់យល់មិចបានគេយំ តែបើសិនជាយករឿងញុមមកសម្ដែងប្រហែលយំខ្លាំងជាងនឹងទៅទៀត,Positive
មើលហើយៗ. អត់យំអីផង. តែល្អមើលគួរសម តួស្អាតៗ,Positive
រឿងនឹងវគ្គ1មើលស្តាយលុយណាស់ ចឹងអត់មើលទៀតទេ4/10,Negative
ពិរោះណាស់ សូមអគុណ ដល់លោក ដែលបានខំស្រាវជ្រាវរក្សាទុក,Positive 
ពិរោះណាស់ខ្ញុំចូលចិត្តស្តាប់បទពីដើម,Positive 
ស្តាប់នៅតែពិរោះមិនសាបសូន្យ,Positive 
មាននាក់ស្តាប់តើ,Positive 
ចូលចិត្ត,Positive 
គ្រាប់ពេជ្រនៅតែគ្រាប់ពេជ្រ,Positive 
ទាល់តែឧកញ៉ាធ្លាក់ខ្លួនបែបនេះ ទើបម្នាក់ៗពេញចិត្ត,Negative 
ខានលឺយូហើយអាយដល,Positive 
បងធំ មន្ត មកវិញហេីយ,Positive 
រង់ចាំយូរហេីយ​ អាយដល,Positive 
អានេះមើងាយគេសាហាវ,Negative 
ថាគេតាមដានវាតែដឹងពីគេគ្រប់រឿងម៉ង ម៉ាអាឈ្មោល,Negative 
អាប្អូននឹងវាថ្លើបធំហើយបានមកចង់លេងមួយបង,Negative 
ស្ដាយហា៎អត់បានទៅមើល,Negative 
បទអីនិងដឹងប្រាប់ផង,Negative 
បានត្រឹមមើលតាមឡាយ,Negative 
ញុមមើលឡាយខ្ចីលទៅរងាពេក,Positive 
ឈឺហើយអត់បានទៅមើលផ្ទាល់,Negative 
រវល់ខួបកំណើតកូនអត់បានទៅស្ដាយណាស់,Negative 
ស្តាយអត់ទៅមើលផ្ទាល់,Negative 
បទខ្មែរមិចក៏មិនច្រៀង,Negative 
អ្នកធ្វើគេខំណាស់ ណាស់តែពួកទើសទេ ទើសគ្រប់កន្លែងរកកន្លែងទើសគ្រប់ យ៉ាង,Negative 
អរគុណបងដែលបានបកស្រាយកុំអេាយមានមហាជនមួួយចំនួនយល់ថាលួចបទគេ ចំលងគេ,Positive 
ម៉េចក៏ចូលចិត្តចម្លងតែពី គេ,Negative 
បើចង់ផ្សព្វផ្សាយអោយម្ចាស់ដើមច្រៀងល្អជាង ព្រោះមុនហ្នឹងល្បីរួចទៅហើយ តែពេលដូរអ្នកចម្រៀងចឹង ល្បីថែមទៀតតែគេរិះគន់វិញ,Negative 
ថតបានស្អាតចម្រៀងពិរោះប៉ុន្តែយ៉ាប់ត្រង់មានឡាបូបូធ្វើឲ្យទាញតម្លៃបទចម្រៀងធ្លាក់ចុះ,Positive 
ស្ដាប់មិនចូលទេ,Negative 
តែអ្នកកូពីដូចឆ្កួតទាំងmcទាំងអ្នកច្រៀង,Negative 
មើលទឹកមុខដូចបង្ខំអោយនិយាយ,Negative 
បើចេះស្ទើធ្វើភ្លើល្អជាង(សុភាសិតខ្មែរ),Negative 
មិនបាច់ចេញទេ,Negative 
លុបណាវ៉ាតត្រាចេញទៅបង,Negative 
សួរថាចត់បាយអត់?,Negative 
បទសែកមន្តហ្នឹងអ្នកណាជាអ្នកនិពន្ធ? ហើយប្រកាសថាខ្លួនឯងជាម្ចាស់កម្មសិទ្ធថែមទៀតផង ប្រាកដអត់លោក?,Negative 
និពន្ធដូចខ្មោច,Negative 
អគុណបងដែលបានបកស្រាយ,Positive 
ងាប់នឹងគេបង្វែររឿងនឹងទៅខ្មែរ,Negative 
ពិតជាមានន័យណាស់បង,Positive 
​វា​ហាក់​ដូចជា​ហត់នឿយ​ពេក​ហើយ,Negative
គ្មាន​ការលើក​ទឹក​ចិត្ត​បាន​ត្រឹម​តែ​ ពាក្យ​ធ្វើ​ឲ្យ​បាក់​ទឹក​ចិត្ត,Negative
ខ្ញុំចង់និយាយថាខ្ញុំស្រឡាញ់បទមួយនេះ,Positive 
គ្រប់បទរបស់គាត់មានពាក្យចុងជួនល្អណាស់ហើយមានអត្ថន័យទៀត,Positive 
គ្រាន់ថាគេល្អជាងបងហ៎? ម៉េចបានទឹកភ្នែកដោយសារគេបែបនឹង,Negative
គេនោះល្អជាងបងឆ្ងាយណាស់,Negative
សង្សារទុំសុំបែកហើយស្តាប់បត់និង,Negative
អារម្មណ៍ពេលមានមនុស្សទី3,Negative
សុំកុំទុកខ្ញុំជាមនុស្សទីបី,Negative
